3713,255,226,226,!
761,255,201,201,#
760,245,173,173,$
3712,241,135,135,%
3328,227,109,109,&
347,191,45,45,'
353,254,215,204,(
352,253,156,151,)
351,233,106,103,*
350,224,72,72,+
349,210,16,53,ж
817,187,5,31,-
3708,255,203,213,ܙ
3706,255,173,188,/
3705,255,121,146,0
3801,231,73,103,1
666,227,29,66,2
321,199,43,59,3
304,183,31,51,4
498,167,19,43,5
816,151,11,35,6
815,135,7,31,7
814,123,0,27,8
894,255,178,187,9
893,252,144,162,:
892,255,121,140,;
891,255,87,115,<
818,255,223,217,=
957,253,181,181,>
956,255,145,145,?
309,86,74,74,@
963,255,215,215,A
3716,255,189,189,B
962,230,138,138,C
961,207,115,115,D
3833,234,134,153,E
3832,219,85,110,F
3831,179,47,72,G
777,145,53,70,H
819,255,238,235,I
3326,251,173,180,J
776,252,176,185,K
899,242,118,136,L
335,238,84,110,M
326,179,59,75,N
151,240,206,212,O
3354,228,166,172,P
3733,232,135,155,Q
3731,218,103,131,R
3350,188,67,101,S
150,171,2,73,T
3689,251,191,194,U
3688,231,169,172,V
3687,201,107,112,W
3803,171,51,87,X
3685,136,21,49,Y
605,255,192,205,Z
604,255,176,190,[
603,255,164,190,\
602,226,72,116,]
601,209,40,106,^
600,205,47,99,_
3806,255,140,174,`
3805,243,71,139,a
3804,224,40,118,b
3609,244,174,213,c
3608,234,156,196,d
3607,197,73,137,e
718,156,36,98,f
917,155,19,89,g
915,130,0,67,h
225,255,223,213,i
224,235,183,175,j
152,226,160,153,k
223,204,132,124,l
3722,188,108,100,m
3721,161,75,81,n
221,136,62,67,o
778,223,179,187,p
3727,219,169,178,q
316,183,115,127,r
3726,155,91,102,s
315,129,73,82,t
3802,113,65,73,u
902,130,38,55,v
3743,215,203,211,w
3042,183,157,167,x
3041,149,111,124,y
3740,120,87,98,z
3836,186,145,170,{
3835,148,96,131,|
3834,114,55,93,}
154,87,36,51,~
211,227,203,227,¡
210,195,159,195,¢
209,163,123,167,£
208,131,91,139,¤
